t,alt,asp,gsp,roll,pitch,yaw,p,q,r,navroll,navpitch,ail,elev,rud,thr,armed,mode
52.243,53.12,12.689201354980469,13.5917387008667,-32.76480335423927,13.657964721927549,110.12527100713663,3.236590152369031,5.395834930158087,-9.133509958154056,-25.60999870300293,8.470000267028809,1701,1286,1600,90,True,13
52.295,53.21,12.689201354980469,13.622105598449707,-32.72997280456679,13.629263413261508,109.46925182792441,3.2342644729566414,5.404335100580168,-9.197986943918977,-26.829999923706055,8.389999389648438,1708,1287,1604,90,True,13
52.345,53.27,12.689637184143066,13.6416597366333,-32.707761029385914,13.609028124071699,109.02972915483409,3.209927014840005,5.4046219685253085,-9.251336697752299,-26.829999923706055,8.389999389648438,1708,1287,1604,90,True,13
52.397,53.359,12.689637184143066,13.671420097351074,-32.676895404526626,13.57736336707952,108.36670220153344,3.1673836874907,5.415178025887563,-9.32859382122796,-28.01999855041504,8.319999694824219,1715,1288,1607,90,True,13
52.450,53.419,12.755661964416504,13.691017150878906,-32.659311082508424,13.554781907909812,107.92246669791581,3.1197648892578402,5.413100794606233,-9.383176424206471,-28.010000228881836,8.319999694824219,1715,1288,1607,90,True,13
52.501,53.508,12.755661964416504,13.719430923461914,-32.63608843933038,13.520572051678156,107.25269834790437,3.046129260146168,5.427243128169567,-9.448848693076144,-29.17999839782715,8.229999542236328,1722,1289,1611,90,True,13
52.553,53.567,12.793440818786621,13.737703323364258,-32.62346966483879,13.496780795251711,106.80402322132623,2.9828505456937613,5.423329002888327,-9.505025291452206,-29.170000076293945,8.229999542236328,1722,1289,1611,90,True,13
52.605,53.656,12.793440818786621,13.765462875366211,-32.609211644946384,13.460357103955324,106.12782083311663,2.8897463161266135,5.4374324897507575,-9.571568409441054,-30.309999465942383,8.15999984741211,1728,1290,1614,90,True,13
52.656,53.715,12.806392669677734,13.783729553222656,-32.603908003055864,13.435056375722304,105.6752934798466,2.818758025648555,5.435537966029725,-9.606656798754702,-30.299999237060547,8.15999984741211,1729,1290,1614,90,True,13
52.707,53.805,12.806392669677734,13.810318946838379,-32.600837833023945,13.396779995613553,104.99365426105767,2.7092854611788835,5.45107750016515,-9.665462166187574,-31.420000076293945,8.09000015258789,1735,1291,1617,90,True,13
52.759,53.864,12.878636360168457,13.827542304992676,-32.6027605312753,13.370642569207208,104.53756837923007,2.6222603134164584,5.45517049102528,-9.69911621577552,-31.420000076293945,8.09000015258789,1736,1291,1618,90,True,13
52.811,53.954,12.878636360168457,13.851788520812988,-32.611206060184024,13.331191396561213,103.8506289336452,2.501921558307531,5.478863563482408,-9.749613511856715,-32.5099983215332,8.010000228881836,1742,1292,1621,90,True,13
52.862,54.014,12.954326629638672,13.866388320922852,-32.620163853280495,13.306046908905458,103.39022637226215,2.411523791199001,5.476324867545279,-9.784277575668177,-32.5099983215332,8.010000228881836,1743,1292,1621,90,True,13
52.913,54.164,13.00193977355957,13.902800559997559,-32.6577230635264,13.24186789014308,102.23371825142809,2.180756031693188,5.502883631246051,-9.860954986838033,-33.55999755859375,7.940000057220459,1749,1293,1624,90,True,13
52.963,54.164,13.00193977355957,13.902800559997559,-32.6577230635264,13.24186789014308,102.23371825142809,2.180756031693188,5.502883631246051,-9.860954986838033,-33.55999755859375,7.940000057220459,1749,1293,1624,90,True,13
53.014,54.314,13.05253791809082,13.936899185180664,-32.71832733203192,13.176461144877392,101.06993597912795,1.9332937957519833,5.528347430245504,-9.921721472336344,-34.59000015258789,7.889999866485596,1756,1293,1628,90,True,13
53.065,54.314,13.05253791809082,13.936899185180664,-32.71832733203192,13.176461144877392,101.06993597912795,1.9332937957519833,5.528347430245504,-9.921721472336344,-34.59000015258789,7.889999866485596,1756,1293,1628,90,True,13
53.117,54.464,13.039101600646973,13.970259666442871,-32.80386862119716,13.110079390107684,99.89878393271337,1.6751362306224789,5.550841804503295,-9.983097552218078,-35.599998474121094,7.839999675750732,1762,1294,1631,90,True,13
53.167,54.464,13.039101600646973,13.970259666442871,-32.80386862119716,13.110079390107684,99.89878393271337,1.6751362306224789,5.550841804503295,-9.983097552218078,-35.599998474121094,7.839999675750732,1762,1294,1631,90,True,13
53.218,54.614,13.068876266479492,14.002776145935059,-32.915467082046,13.040762361542162,98.72194233872018,1.4094577734431444,5.5971551828310355,-10.035946140921052,-36.59000015258789,7.789999961853027,1768,1294,1634,90,True,13
53.268,54.614,13.068876266479492,14.002776145935059,-32.915467082046,13.040762361542162,98.72194233872018,1.4094577734431444,5.5971551828310355,-10.035946140921052,-36.59000015258789,7.789999961853027,1768,1294,1634,90,True,13
53.319,54.762,13.07282543182373,14.035564422607422,-33.05361107310409,12.96881741769348,97.53912432920322,1.1419488255662464,5.617900601774481,-10.086081436976238,-37.55999755859375,7.739999771118164,1774,1295,1637,90,True,13
53.369,54.851,13.07282543182373,14.055449485778809,-33.149667438496564,12.92322248988906,96.82747325920126,0.9813963712235169,5.641841695475844,-10.113466226679758,-38.52000045776367,7.690000057220459,1780,1295,1640,90,True,13
53.421,54.911,13.114020347595215,14.06831169128418,-33.219007518950534,12.892702643356504,96.35134077215966,0.8676941053886088,5.665428046227191,-10.139042723800516,-38.52000045776367,7.690000057220459,1780,1295,1640,90,True,13
53.473,55.0,13.114020347595215,14.088205337524414,-33.33083820623116,12.84575533809642,95.63561890941237,0.7141274938237742,5.697007852741568,-10.164573970918024,-39.459999084472656,7.62999963760376,1785,1295,1642,90,True,13
53.525,55.059,13.154544830322266,14.101798057556152,-33.411191966721766,12.813733703720109,95.15737589391725,0.6013593630795712,5.716149031003706,-10.185761217723405,-39.459999084472656,7.62999963760376,1786,1295,1643,90,True,13
53.577,55.146,13.154544830322266,14.122279167175293,-33.53934339102413,12.763923695424145,94.43875803096186,0.4461739966814436,5.722919456018481,-10.214047592397366,-40.37999725341797,7.579999923706055,1791,1296,1645,90,True,13
53.629,55.204,13.21865177154541,14.135661125183105,-33.62976143525676,12.7298026316517,93.95850010966159,0.33918780783264146,5.7371480207200864,-10.234331546685011,-40.37999725341797,7.579999923706055,1792,1296,1646,90,True,13
53.681,55.291,13.21865177154541,14.15636920928955,-33.77333201161043,12.67728359957618,93.23634420871613,0.18001582543462138,5.770681261337088,-10.266278048980453,-41.290000915527344,7.539999961853027,1797,1296,1648,90,True,13
53.732,55.348,13.28268814086914,14.1705904006958,-33.87457249058294,12.641408884734334,92.75379134385474,0.07240475431804244,5.791015161383038,-10.283924696474827,-41.290000915527344,7.539999961853027,1797,1296,1648,90,True,13
53.784,55.434,13.28268814086914,14.18874454498291,-34.03363052087962,12.586256814733773,92.02854136721527,-0.07196226611555272,5.81332938940147,-10.307720221769506,-42.18000030517578,7.509999752044678,1802,1296,1651,89,True,13
